respondent_id,h1n1_vaccine,seasonal_vaccine,xyz_vaccine
26784,0.5,0.88,0.5
26785,0.5,0.66,0.27
26786,0.5,0.28,0.07
26787,0.5,0.54,0.08
26788,0.5,0.82,0.14
26789,0.5,0.26,0.07
26790,0.5,0.16,0.03
26791,0.5,0.1,0.04
26792,0.5,0.55,0.19
26793,0.5,0.93,0.17
26794,0.5,0.82,0.59
26795,0.5,0.79,0.17
26796,0.5,0.02,0.02
26797,0.5,0.52,0.16
26798,0.5,0.26,0.32
26799,0.5,0.33,0.39
26800,0.5,0.94,0.05
26801,0.5,0.3,0.24
26802,0.5,0.13,0.06
26803,0.5,0.14,0.1
26804,0.5,0.14,0.1
26805,0.5,0.13,0.1
26806,0.5,0.89,0.11
26807,0.5,0.84,0.54
26808,0.5,0.42,0.21
26809,0.5,0.28,0.37
26810,0.5,0.13,0.05
26811,0.5,0.12,0.03
26812,0.5,0.69,0.18
26813,0.5,0.47,0.48
26814,0.5,0.7,0.03
26815,0.5,0.04,0.01
26816,0.5,0.25,0.13
26817,0.5,0.66,0.11
26818,0.5,0.33,0.14
26819,0.5,0.25,0.24
26820,0.5,0.1,0.1
26821,0.5,0.48,0.04
26822,0.5,0.65,0.24
26823,0.5,0.38,0.24
26824,0.5,0.65,0.1
26825,0.5,0.65,0.39
26826,0.5,0.75,0.12
26827,0.5,0.15,0.05
26828,0.5,0.37,0.17
26829,0.5,0.9,0.69
26830,0.5,0.8,0.12
26831,0.5,0.85,0.29
26832,0.5,0.85,0.1
26833,0.5,0.43,0.07
26834,0.5,0.5,0.34
26835,0.5,0.84,0.63
26836,0.5,0.67,0.16
26837,0.5,0.1,0.09
26838,0.5,0.57,0.07
26839,0.5,0.43,0.25
26840,0.5,0.16,0.07
26841,0.5,0.79,0.48
26842,0.5,0.1,0.07
26843,0.5,0.07,0.07
26844,0.5,0.39,0.11
26845,0.5,0.58,0.09
26846,0.5,0.87,0.07
26847,0.5,0.22,0.27
26848,0.5,0.69,0.08
26849,0.5,0.47,0.25
26850,0.5,0.56,0.59
26851,0.5,0.06,0.02
26852,0.5,0.09,0.01
26853,0.5,0.53,0.41
26854,0.5,0.05,0.03
26855,0.5,0.87,0.49
26856,0.5,0.11,0.2
26857,0.5,0.26,0.43
26858,0.5,0.51,0.14
26859,0.5,0.15,0.04
26860,0.5,0.27,0.25
26861,0.5,0.13,0.12
26862,0.5,0.32,0.07
26863,0.5,0.38,0.13
26864,0.5,0.36,0.43
26865,0.5,0.11,0.02
26866,0.5,0.61,0.15
26867,0.5,0.23,0.13
26868,0.5,0.79,0.49
26869,0.5,0.26,0.08
26870,0.5,0.85,0.52
26871,0.5,0.06,0.06
26872,0.5,0.32,0.17
26873,0.5,0.75,0.14
26874,0.5,0.1,0.01
26875,0.5,0.78,0.57
26876,0.5,0.12,0.08
26877,0.5,0.16,0.1
26878,0.5,0.23,0.22
26879,0.5,0.02,0.02
26880,0.5,0.12,0.09
26881,0.5,0.09,0.03
26882,0.5,0.09,0.03
26883,0.5,0.2,0.12
26884,0.5,0.17,0.09
26885,0.5,0.76,0.19
26886,0.5,0.87,0.17
26887,0.5,0.85,0.49
26888,0.5,0.95,0.73
26889,0.5,0.13,0.02
26890,0.5,0.49,0.16
26891,0.5,0.76,0.39
26892,0.5,0.6,0.22
26893,0.5,0.17,0.01
26894,0.5,0.2,0.13
26895,0.5,0.79,0.09
26896,0.5,0.05,0.03
26897,0.5,0.57,0.04
26898,0.5,0.59,0.3
26899,0.5,0.1,0.03
26900,0.5,0.18,0.04
26901,0.5,0.45,0.04
26902,0.5,0.87,0.3
26903,0.5,0.1,0.26
26904,0.5,0.45,0.06
26905,0.5,0.81,0.43
26906,0.5,0.39,0.02
26907,0.5,0.59,0.03
26908,0.5,0.73,0.15
26909,0.5,0.16,0.22
26910,0.5,0.42,0.21
26911,0.5,0.12,0.05
26912,0.5,0.76,0.32
26913,0.5,0.8,0.76
26914,0.5,0.13,0.01
26915,0.5,0.68,0.28
26916,0.5,0.13,0.33
26917,0.5,0.14,0.02
26918,0.5,0.95,0.8
26919,0.5,0.64,0.3
26920,0.5,0.06,0.03
26921,0.5,0.67,0.15
26922,0.5,0.77,0.13
26923,0.5,0.45,0.14
26924,0.5,0.97,0.7
26925,0.5,0.63,0.05
26926,0.5,0.49,0.38
26927,0.5,0.64,0.46
26928,0.5,0.52,0.05
26929,0.5,0.29,0.09
26930,0.5,0.81,0.66
26931,0.5,0.34,0.13
26932,0.5,0.86,0.1
26933,0.5,0.5,0.03
26934,0.5,0.71,0.58
26935,0.5,0.47,0.18
26936,0.5,0.33,0.41
26937,0.5,0.8,0.37
26938,0.5,0.09,0.06
26939,0.5,0.09,0.01
26940,0.5,0.2,0.14
26941,0.5,0.34,0.05
26942,0.5,0.79,0.56
26943,0.5,0.71,0.28
26944,0.5,0.15,0.03
26945,0.5,0.5,0.03
26946,0.5,0.64,0.19
26947,0.5,0.59,0.28
26948,0.5,0.1,0.05
26949,0.5,0.02,0.08
26950,0.5,0.61,0.05
26951,0.5,0.4,0.04
26952,0.5,0.79,0.74
26953,0.5,0.93,0.66
26954,0.5,0.17,0.06
26955,0.5,0.73,0.2
26956,0.5,0.13,0.14
26957,0.5,0.88,0.11
26958,0.5,0.67,0.3
26959,0.5,0.16,0.09
26960,0.5,0.11,0.04
26961,0.5,0.45,0.29
26962,0.5,0.9,0.13
26963,0.5,0.43,0.19
26964,0.5,0.16,0.08
26965,0.5,0.92,0.84
26966,0.5,0.17,0.01
26967,0.5,0.63,0.24
26968,0.5,0.85,0.04
26969,0.5,0.21,0.11
26970,0.5,0.68,0.52
26971,0.5,0.1,0.06
26972,0.5,0.07,0.05
26973,0.5,0.17,0.08
26974,0.5,0.32,0.19
26975,0.5,0.59,0.06
26976,0.5,0.6,0.8
26977,0.5,0.52,0.08
26978,0.5,0.69,0.02
26979,0.5,0.87,0.42
26980,0.5,0.15,0.08
26981,0.5,0.33,0.15
26982,0.5,0.74,0.68
26983,0.5,0.41,0.19
26984,0.5,0.22,0.04
26985,0.5,0.07,0.05
26986,0.5,0.47,0.12
26987,0.5,0.26,0.03
26988,0.5,0.04,0.08
26989,0.5,0.87,0.31
26990,0.5,0.1,0.04
26991,0.5,0.45,0.26
26992,0.5,0.51,0.2
26993,0.5,0.93,0.12
26994,0.5,0.33,0.18
26995,0.5,0.43,0.37
26996,0.5,0.33,0.37
26997,0.5,0.1,0.05
26998,0.5,0.06,0.09
26999,0.5,0.49,0.36
27000,0.5,0.27,0.09
27001,0.5,0.87,0.12
27002,0.5,0.38,0.07
27003,0.5,0.08,0.0
27004,0.5,0.21,0.22
27005,0.5,0.79,0.44
27006,0.5,0.75,0.73
27007,0.5,0.23,0.05
27008,0.5,0.07,0.1
27009,0.5,0.22,0.02
27010,0.5,0.12,0.06
27011,0.5,0.24,0.2
27012,0.5,0.58,0.29
27013,0.5,0.43,0.04
27014,0.5,0.32,0.03
27015,0.5,0.14,0.25
27016,0.5,0.36,0.15
27017,0.5,0.89,0.43
27018,0.5,0.27,0.04
27019,0.5,0.96,0.79
27020,0.5,0.3,0.23
27021,0.5,0.5,0.17
27022,0.5,0.18,0.18
27023,0.5,0.19,0.12
27024,0.5,0.41,0.14
27025,0.5,0.14,0.2
27026,0.5,0.38,0.12
27027,0.5,0.89,0.09
27028,0.5,0.83,0.39
27029,0.5,0.34,0.21
27030,0.5,0.21,0.16
27031,0.5,0.75,0.28
27032,0.5,0.66,0.35
27033,0.5,0.65,0.32
27034,0.5,0.59,0.14
27035,0.5,0.2,0.1
27036,0.5,0.64,0.14
27037,0.5,0.5,0.41
27038,0.5,0.03,0.0
27039,0.5,0.85,0.68
27040,0.5,0.34,0.25
27041,0.5,0.66,0.1
27042,0.5,0.6,0.1
27043,0.5,0.69,0.39
27044,0.5,0.05,0.03
27045,0.5,0.59,0.12
27046,0.5,0.12,0.0
27047,0.5,0.38,0.52
27048,0.5,0.61,0.14
27049,0.5,0.79,0.41
27050,0.5,0.57,0.11
27051,0.5,0.22,0.05
27052,0.5,0.23,0.11
27053,0.5,0.85,0.79
27054,0.5,0.03,0.04
27055,0.5,0.92,0.15
27056,0.5,0.19,0.16
27057,0.5,0.07,0.03
27058,0.5,0.8,0.76
27059,0.5,0.13,0.06
27060,0.5,0.23,0.07
27061,0.5,0.41,0.13
27062,0.5,0.4,0.06
27063,0.5,0.45,0.06
27064,0.5,0.58,0.26
27065,0.5,0.47,0.09
27066,0.5,0.58,0.08
27067,0.5,0.85,0.55
27068,0.5,0.88,0.79
27069,0.5,0.91,0.59
27070,0.5,0.07,0.0
27071,0.5,0.17,0.06
27072,0.5,0.49,0.21
27073,0.5,0.9,0.1
27074,0.5,0.28,0.09
27075,0.5,0.75,0.69
27076,0.5,0.63,0.49
27077,0.5,0.13,0.06
27078,0.5,0.77,0.23
27079,0.5,0.84,0.37
27080,0.5,0.13,0.08
27081,0.5,0.71,0.09
27082,0.5,0.32,0.14
27083,0.5,0.25,0.1
27084,0.5,0.71,0.54
27085,0.5,0.07,0.01
27086,0.5,0.13,0.04
27087,0.5,0.18,0.12
27088,0.5,0.63,0.35
27089,0.5,0.09,0.15
27090,0.5,0.69,0.34
27091,0.5,0.31,0.47
27092,0.5,0.27,0.07
27093,0.5,0.13,0.09
27094,0.5,0.17,0.03
27095,0.5,0.64,0.15
27096,0.5,0.13,0.1
27097,0.5,0.73,0.66
27098,0.5,0.77,0.5
27099,0.5,0.54,0.18
27100,0.5,0.68,0.2
27101,0.5,0.59,0.18
27102,0.5,0.76,0.08
27103,0.5,0.09,0.04
27104,0.5,0.57,0.22
27105,0.5,0.42,0.22
27106,0.5,0.79,0.54
27107,0.5,0.71,0.48
27108,0.5,0.23,0.19
27109,0.5,0.17,0.09
27110,0.5,0.33,0.06
27111,0.5,0.42,0.04
27112,0.5,0.54,0.34
27113,0.5,0.13,0.05
27114,0.5,0.09,0.03
27115,0.5,0.74,0.46
27116,0.5,0.87,0.13
27117,0.5,0.11,0.04
27118,0.5,0.54,0.2
27119,0.5,0.3,0.09
27120,0.5,0.95,0.36
27121,0.5,0.72,0.03
27122,0.5,0.45,0.06
27123,0.5,0.21,0.11
27124,0.5,0.14,0.09
27125,0.5,0.03,0.01
27126,0.5,0.21,0.17
27127,0.5,0.1,0.05
27128,0.5,0.47,0.13
27129,0.5,0.45,0.41
27130,0.5,0.31,0.17
27131,0.5,0.15,0.06
27132,0.5,0.93,0.54
27133,0.5,0.72,0.09
27134,0.5,0.95,0.66
27135,0.5,0.61,0.18
27136,0.5,0.63,0.03
27137,0.5,0.17,0.09
27138,0.5,0.43,0.21
27139,0.5,0.26,0.09
27140,0.5,0.84,0.82
27141,0.5,0.68,0.53
27142,0.5,0.13,0.03
27143,0.5,0.33,0.29
27144,0.5,0.14,0.13
27145,0.5,0.68,0.48
27146,0.5,0.82,0.17
27147,0.5,0.1,0.07
27148,0.5,0.15,0.11
27149,0.5,0.16,0.28
27150,0.5,0.85,0.54
27151,0.5,0.85,0.14
27152,0.5,0.17,0.05
27153,0.5,0.86,0.11
27154,0.5,0.81,0.52
27155,0.5,0.72,0.17
27156,0.5,0.23,0.02
27157,0.5,0.55,0.05
27158,0.5,0.37,0.08
27159,0.5,0.1,0.04
27160,0.5,0.39,0.25
27161,0.5,0.64,0.38
27162,0.5,0.88,0.17
27163,0.5,0.43,0.51
27164,0.5,0.28,0.39
27165,0.5,0.75,0.56
27166,0.5,0.31,0.23
27167,0.5,0.51,0.11
27168,0.5,0.6,0.25
27169,0.5,0.64,0.42
27170,0.5,0.84,0.42
27171,0.5,0.29,0.11
27172,0.5,0.78,0.05
27173,0.5,0.48,0.27
27174,0.5,0.18,0.22
27175,0.5,0.18,0.13
27176,0.5,0.92,0.53
27177,0.5,0.76,0.64
27178,0.5,0.24,0.08
27179,0.5,0.29,0.11
27180,0.5,0.45,0.25
27181,0.5,0.77,0.05
27182,0.5,0.81,0.5
27183,0.5,0.69,0.07
27184,0.5,0.39,0.1
27185,0.5,0.76,0.51
27186,0.5,0.84,0.18
27187,0.5,0.24,0.11
27188,0.5,0.37,0.05
27189,0.5,0.62,0.09
27190,0.5,0.83,0.42
27191,0.5,0.91,0.14
27192,0.5,0.78,0.48
27193,0.5,0.13,0.01
27194,0.5,0.48,0.18
27195,0.5,0.13,0.03
27196,0.5,0.31,0.39
27197,0.5,0.66,0.09
27198,0.5,0.94,0.7
27199,0.5,0.3,0.13
27200,0.5,0.69,0.24
27201,0.5,0.82,0.65
27202,0.5,0.2,0.07
27203,0.5,0.24,0.03
27204,0.5,0.03,0.0
27205,0.5,0.31,0.1
27206,0.5,0.39,0.18
27207,0.5,0.17,0.11
27208,0.5,0.59,0.61
27209,0.5,0.17,0.07
27210,0.5,0.21,0.13
27211,0.5,0.27,0.16
27212,0.5,0.82,0.48
27213,0.5,0.37,0.41
27214,0.5,0.18,0.02
27215,0.5,0.62,0.22
27216,0.5,0.74,0.15
27217,0.5,0.19,0.09
27218,0.5,0.85,0.42
27219,0.5,0.62,0.36
27220,0.5,0.39,0.25
27221,0.5,0.72,0.16
27222,0.5,0.63,0.19
27223,0.5,0.77,0.11
27224,0.5,0.59,0.14
27225,0.5,0.28,0.11
27226,0.5,0.28,0.05
27227,0.5,0.24,0.08
27228,0.5,0.85,0.39
27229,0.5,0.75,0.53
27230,0.5,0.85,0.19
27231,0.5,0.72,0.47
27232,0.5,0.54,0.07
27233,0.5,0.41,0.28
27234,0.5,0.15,0.06
27235,0.5,0.92,0.68
27236,0.5,0.83,0.11
27237,0.5,0.82,0.43
27238,0.5,0.86,0.36
27239,0.5,0.32,0.47
27240,0.5,0.31,0.06
27241,0.5,0.13,0.02
27242,0.5,0.63,0.16
27243,0.5,0.13,0.02
27244,0.5,0.03,0.01
27245,0.5,0.6,0.17
27246,0.5,0.91,0.73
27247,0.5,0.99,0.31
27248,0.5,0.62,0.12
27249,0.5,0.65,0.13
27250,0.5,0.13,0.02
27251,0.5,0.44,0.11
27252,0.5,0.41,0.2
27253,0.5,0.9,0.11
27254,0.5,0.99,0.81
27255,0.5,0.32,0.17
27256,0.5,0.9,0.69
27257,0.5,0.49,0.21
27258,0.5,0.8,0.42
27259,0.5,0.79,0.62
27260,0.5,0.39,0.23
27261,0.5,0.82,0.17
27262,0.5,0.39,0.15
27263,0.5,0.12,0.17
27264,0.5,0.2,0.12
27265,0.5,0.35,0.05
27266,0.5,0.32,0.21
27267,0.5,0.58,0.32
27268,0.5,0.18,0.1
27269,0.5,0.52,0.57
27270,0.5,0.12,0.07
27271,0.5,0.2,0.05
27272,0.5,0.39,0.08
27273,0.5,0.24,0.14
27274,0.5,0.46,0.1
27275,0.5,0.36,0.07
27276,0.5,0.24,0.05
27277,0.5,0.89,0.11
27278,0.5,0.46,0.2
27279,0.5,0.27,0.1
27280,0.5,0.39,0.36
27281,0.5,0.46,0.07
27282,0.5,0.91,0.05
27283,0.5,0.22,0.05
27284,0.5,0.48,0.26
27285,0.5,0.31,0.1
27286,0.5,0.49,0.13
27287,0.5,0.71,0.23
27288,0.5,0.82,0.48
27289,0.5,0.5,0.33
27290,0.5,0.04,0.05
27291,0.5,0.89,0.54
27292,0.5,0.58,0.07
27293,0.5,0.92,0.1
27294,0.5,0.07,0.02
27295,0.5,0.85,0.18
27296,0.5,0.86,0.09
27297,0.5,0.69,0.1
27298,0.5,0.27,0.06
27299,0.5,0.61,0.22
27300,0.5,0.82,0.17
27301,0.5,0.05,0.01
27302,0.5,0.59,0.13
27303,0.5,0.14,0.14
27304,0.5,0.81,0.16
27305,0.5,0.04,0.04
27306,0.5,0.57,0.23
27307,0.5,0.82,0.72
27308,0.5,0.23,0.08
27309,0.5,0.95,0.66
27310,0.5,0.25,0.05
27311,0.5,0.22,0.12
27312,0.5,0.49,0.21
27313,0.5,0.16,0.03
27314,0.5,0.06,0.06
27315,0.5,0.15,0.03
27316,0.5,0.77,0.32
27317,0.5,0.31,0.12
27318,0.5,0.24,0.22
27319,0.5,0.76,0.32
27320,0.5,0.82,0.54
27321,0.5,0.66,0.08
27322,0.5,0.55,0.43
27323,0.5,0.52,0.07
27324,0.5,0.62,0.43
27325,0.5,0.96,0.79
27326,0.5,0.73,0.18
27327,0.5,0.36,0.28
27328,0.5,0.46,0.23
27329,0.5,0.21,0.1
27330,0.5,0.63,0.08
27331,0.5,0.19,0.04
27332,0.5,0.88,0.28
27333,0.5,0.75,0.67
27334,0.5,0.07,0.03
27335,0.5,0.29,0.26
27336,0.5,0.17,0.07
27337,0.5,0.55,0.28
27338,0.5,0.45,0.21
27339,0.5,0.44,0.45
27340,0.5,0.09,0.02
27341,0.5,0.82,0.14
27342,0.5,0.56,0.15
27343,0.5,0.06,0.0
27344,0.5,0.42,0.37
27345,0.5,0.29,0.14
27346,0.5,0.97,0.48
27347,0.5,0.86,0.68
27348,0.5,0.26,0.05
27349,0.5,0.21,0.12
27350,0.5,0.84,0.2
27351,0.5,0.88,0.54
27352,0.5,0.43,0.13
27353,0.5,0.23,0.1
27354,0.5,0.72,0.22
27355,0.5,0.31,0.29
27356,0.5,0.72,0.26
27357,0.5,0.37,0.01
27358,0.5,0.65,0.24
27359,0.5,0.83,0.31
27360,0.5,0.66,0.12
27361,0.5,0.92,0.11
27362,0.5,0.38,0.21
27363,0.5,0.22,0.2
27364,0.5,0.35,0.07
27365,0.5,0.63,0.33
27366,0.5,0.8,0.51
27367,0.5,0.48,0.28
27368,0.5,0.49,0.07
27369,0.5,0.07,0.06
27370,0.5,0.76,0.14
27371,0.5,0.51,0.21
27372,0.5,0.15,0.04
27373,0.5,0.76,0.71
27374,0.5,0.21,0.01
27375,0.5,0.85,0.26
27376,0.5,0.37,0.45
27377,0.5,0.52,0.18
27378,0.5,0.14,0.03
27379,0.5,0.25,0.09
27380,0.5,0.86,0.24
27381,0.5,0.57,0.08
27382,0.5,0.36,0.25
27383,0.5,0.58,0.15
27384,0.5,0.48,0.1
27385,0.5,0.92,0.07
27386,0.5,0.89,0.1
27387,0.5,0.74,0.34
27388,0.5,0.34,0.18
27389,0.5,0.11,0.04
27390,0.5,0.05,0.02
27391,0.5,0.68,0.2
27392,0.5,0.87,0.82
27393,0.5,0.14,0.01
27394,0.5,0.42,0.08
27395,0.5,0.61,0.53
27396,0.5,0.13,0.05
27397,0.5,0.97,0.73
27398,0.5,0.75,0.37
27399,0.5,0.52,0.19
27400,0.5,0.7,0.08
27401,0.5,0.31,0.31
27402,0.5,0.69,0.12
27403,0.5,0.12,0.06
27404,0.5,0.23,0.17
27405,0.5,0.71,0.73
27406,0.5,0.19,0.06
27407,0.5,0.18,0.1
27408,0.5,0.55,0.07
27409,0.5,0.87,0.68
27410,0.5,0.05,0.06
27411,0.5,0.31,0.11
27412,0.5,0.67,0.38
27413,0.5,0.36,0.09
27414,0.5,0.71,0.55
27415,0.5,0.46,0.21
27416,0.5,0.32,0.01
27417,0.5,0.47,0.29
27418,0.5,0.19,0.31
27419,0.5,0.92,0.61
27420,0.5,0.18,0.11
27421,0.5,0.34,0.13
27422,0.5,0.66,0.26
27423,0.5,0.26,0.01
27424,0.5,0.45,0.29
27425,0.5,0.56,0.28
27426,0.5,0.3,0.15
27427,0.5,0.35,0.12
27428,0.5,0.07,0.01
27429,0.5,0.3,0.33
27430,0.5,0.6,0.18
27431,0.5,0.58,0.24
27432,0.5,0.46,0.22
27433,0.5,0.67,0.12
27434,0.5,0.36,0.1
27435,0.5,0.44,0.21
27436,0.5,0.08,0.05
27437,0.5,0.21,0.11
27438,0.5,0.15,0.06
27439,0.5,0.48,0.32
27440,0.5,0.24,0.14
27441,0.5,0.79,0.75
27442,0.5,0.76,0.34
27443,0.5,0.13,0.02
27444,0.5,0.17,0.14
27445,0.5,0.05,0.13
27446,0.5,0.18,0.08
27447,0.5,0.2,0.02
27448,0.5,0.57,0.24
27449,0.5,0.88,0.16
27450,0.5,0.68,0.19
27451,0.5,0.11,0.12
27452,0.5,0.22,0.1
27453,0.5,0.85,0.1
27454,0.5,0.46,0.03
27455,0.5,0.42,0.17
27456,0.5,0.5,0.33
27457,0.5,0.12,0.02
27458,0.5,0.34,0.07
27459,0.5,0.18,0.06
27460,0.5,0.84,0.6
27461,0.5,0.25,0.13
27462,0.5,0.38,0.03
27463,0.5,0.34,0.15
27464,0.5,0.53,0.51
27465,0.5,0.92,0.73
27466,0.5,0.1,0.02
27467,0.5,0.32,0.07
27468,0.5,0.49,0.09
27469,0.5,0.56,0.2
27470,0.5,0.8,0.77
27471,0.5,0.76,0.12
27472,0.5,0.72,0.31
27473,0.5,0.29,0.08
27474,0.5,0.37,0.16
27475,0.5,0.09,0.05
27476,0.5,0.44,0.28
27477,0.5,0.15,0.08
27478,0.5,0.66,0.16
27479,0.5,0.32,0.13
27480,0.5,0.79,0.54
27481,0.5,0.8,0.52
27482,0.5,0.32,0.34
27483,0.5,0.75,0.48
27484,0.5,0.81,0.48
27485,0.5,0.66,0.12
27486,0.5,0.24,0.15
27487,0.5,0.89,0.17
27488,0.5,0.83,0.73
27489,0.5,0.66,0.78
27490,0.5,0.31,0.04
27491,0.5,0.47,0.27
27492,0.5,0.38,0.04
27493,0.5,0.83,0.19
27494,0.5,0.69,0.27
27495,0.5,0.29,0.17
27496,0.5,0.12,0.02
27497,0.5,0.16,0.11
27498,0.5,0.62,0.17
27499,0.5,0.9,0.24
27500,0.5,0.88,0.21
27501,0.5,0.36,0.05
27502,0.5,0.45,0.16
27503,0.5,0.69,0.18
27504,0.5,0.08,0.01
27505,0.5,0.07,0.05
27506,0.5,0.78,0.26
27507,0.5,0.25,0.22
27508,0.5,0.14,0.16
27509,0.5,0.4,0.15
27510,0.5,0.34,0.45
27511,0.5,0.6,0.29
27512,0.5,0.2,0.07
27513,0.5,0.56,0.13
27514,0.5,0.64,0.4
27515,0.5,0.47,0.4
27516,0.5,0.73,0.25
27517,0.5,0.09,0.05
27518,0.5,0.86,0.63
27519,0.5,0.09,0.06
27520,0.5,0.08,0.0
27521,0.5,0.49,0.08
27522,0.5,0.18,0.1
27523,0.5,0.16,0.05
27524,0.5,0.51,0.22
27525,0.5,0.3,0.18
27526,0.5,0.67,0.33
27527,0.5,0.99,0.06
27528,0.5,0.83,0.44
27529,0.5,0.69,0.23
27530,0.5,0.08,0.06
27531,0.5,0.16,0.11
27532,0.5,0.92,0.08
27533,0.5,0.4,0.28
27534,0.5,0.12,0.11
27535,0.5,0.74,0.16
27536,0.5,0.38,0.2
27537,0.5,0.75,0.62
27538,0.5,0.42,0.28
27539,0.5,0.67,0.2
27540,0.5,0.34,0.48
27541,0.5,0.94,0.63
27542,0.5,0.08,0.06
27543,0.5,0.64,0.41
27544,0.5,0.29,0.13
27545,0.5,0.16,0.17
27546,0.5,0.65,0.56
27547,0.5,0.19,0.1
27548,0.5,0.93,0.08
27549,0.5,0.97,0.15
27550,0.5,0.22,0.18
27551,0.5,0.59,0.1
27552,0.5,0.79,0.05
27553,0.5,0.54,0.05
27554,0.5,0.4,0.25
27555,0.5,0.13,0.07
27556,0.5,0.65,0.19
27557,0.5,0.83,0.26
27558,0.5,0.22,0.08
27559,0.5,0.65,0.24
27560,0.5,0.71,0.26
27561,0.5,0.77,0.37
27562,0.5,0.66,0.16
27563,0.5,0.61,0.21
27564,0.5,0.31,0.23
27565,0.5,0.37,0.15
27566,0.5,0.4,0.15
27567,0.5,0.6,0.31
27568,0.5,0.94,0.56
27569,0.5,0.56,0.37
27570,0.5,0.78,0.54
27571,0.5,0.08,0.05
27572,0.5,0.02,0.0
27573,0.5,0.23,0.08
27574,0.5,0.57,0.45
27575,0.5,0.39,0.04
27576,0.5,0.16,0.02
27577,0.5,0.39,0.16
27578,0.5,0.5,0.09
27579,0.5,0.48,0.05
27580,0.5,0.66,0.04
27581,0.5,0.25,0.19
27582,0.5,0.07,0.03
27583,0.5,0.12,0.04
27584,0.5,0.46,0.52
27585,0.5,0.54,0.29
27586,0.5,0.76,0.64
27587,0.5,0.74,0.04
27588,0.5,0.33,0.08
27589,0.5,0.57,0.07
27590,0.5,0.44,0.19
27591,0.5,0.7,0.39
27592,0.5,0.07,0.03
27593,0.5,0.06,0.05
27594,0.5,0.79,0.25
27595,0.5,0.15,0.03
27596,0.5,0.21,0.13
27597,0.5,0.26,0.07
27598,0.5,0.27,0.21
27599,0.5,0.72,0.48
27600,0.5,0.5,0.04
27601,0.5,0.65,0.21
27602,0.5,0.77,0.57
27603,0.5,0.11,0.09
27604,0.5,0.39,0.07
27605,0.5,0.45,0.41
27606,0.5,0.19,0.17
27607,0.5,0.51,0.43
27608,0.5,0.58,0.19
27609,0.5,0.86,0.39
27610,0.5,0.71,0.31
27611,0.5,0.19,0.37
27612,0.5,0.6,0.05
27613,0.5,0.97,0.67
27614,0.5,0.35,0.04
27615,0.5,0.87,0.14
27616,0.5,0.05,0.01
27617,0.5,0.52,0.35
27618,0.5,0.46,0.21
27619,0.5,0.33,0.3
27620,0.5,0.73,0.48
27621,0.5,0.29,0.08
27622,0.5,0.92,0.57
27623,0.5,0.76,0.21
27624,0.5,0.77,0.13
27625,0.5,0.42,0.11
27626,0.5,0.12,0.02
27627,0.5,0.79,0.65
27628,0.5,0.73,0.2
27629,0.5,0.14,0.05
27630,0.5,0.73,0.41
27631,0.5,0.23,0.19
27632,0.5,0.41,0.07
27633,0.5,0.74,0.44
27634,0.5,0.36,0.1
